month,forecast_sales_volume,lower,upper
2016-07-01,87930.78940262969,65517.45408758038,110344.12471767899
2016-08-01,86791.41642697221,61609.859229480746,111972.97362446367
2016-09-01,81218.79127794139,52507.51240214508,109930.0701537377
2016-10-01,88660.36915983228,57017.07980965813,120303.65851000643
2016-11-01,83127.58880387602,48761.540956450175,117493.63665130186
2016-12-01,85934.35401100358,49053.93410456992,122814.77391743724
2017-01-01,63563.29719273744,24327.73032456005,102798.86406091483
2017-02-01,66863.47252385873,25406.654555872323,108320.29049184514
2017-03-01,98998.26835810854,55433.243776830706,142563.2929393864
2017-04-01,64375.25962591742,18799.45682975879,109951.06242207604
2017-05-01,73308.93972275814,25807.39781812125,120810.48162739503
2017-06-01,84514.28794762459,35162.09333156981,133866.48256367937
